country,year,Urban_pct
Spain,2012,78.84556803
Estonia,2012,67.96295933
Finland,2012,70.36613632
France,2012,77.16694649
United Kingdom,2012,81.29056678
Greece,2012,76.86797974
Croatia,2012,55.30428886
Hungary,2012,69.57723267
Indonesia,2012,51.15939331
India,2012,31.58989356
Ireland,2012,62.25293185
Iceland,2012,93.51489258
Israel,2012,91.72765028
Italy,2012,68.76087942
Jordan,2012,84.95926296
Japan,2012,91.02652773
Korea,2012,81.90878982
Lithuania,2012,66.85367584
Luxembourg,2012,89.4405768
Latvia,2012,67.83316389
Mexico,2012,76.65851991
Malaysia,2012,71.96801279
Netherlands,2012,88.53424624
Norway,2012,79.49059254
New Zealand,2012,85.77770068
Poland,2012,60.63416328
Portugal,2012,61.14097939
Romania,2012,53.95630925
Russia,2012,73.97265625
Slovakia,2012,54.27645283
Slovenia,2012,49.76194763
Sweden,2012,85.62506689
Seychelles,2012,42.72617585
Thailand,2012,45.37356581
Turkiye,2012,73.77886802
USA,2012,80.68374934
Uzbekistan,2012,51.33596802
Viet Nam,2012,31.12227794
South Africa,2012,62.96165603
Australia,2013,86.57405158
Austria,2013,67.29813088
Belgium,2013,85.74154102
Bulgaria,2013,72.96328216
Brazil,2013,85.16765854
Canada,2013,81.18343996
Switzerland,2013,74.11213848
Chile,2013,87.18277777
China,2013,54.49000168
Colombia,2013,77.03159882
Costa Rica,2013,73.94317762
Cyprus,2013,67.21023336
Czech Republic,2013,73.16221869
Germany,2013,80.47323184
Denmark,2013,87.54365248
Spain,2013,78.98580869
Estonia,2013,68.09234583
Finland,2013,70.67421182
France,2013,77.24407215
United Kingdom,2013,81.45737687
Greece,2013,77.09519997
Croatia,2013,55.36594797
Hungary,2013,69.92776363
Indonesia,2013,51.83074951
India,2013,31.90967892
Ireland,2013,62.40471578
Iceland,2013,93.61667252
Israel,2013,91.72278315
Italy,2013,69.30739899
Jordan,2013,86.46271102
Japan,2013,91.15165957
Korea,2013,81.82693835
Lithuania,2013,67.00920868
Luxembourg,2013,89.94137467
Latvia,2013,67.84733448
Mexico,2013,76.79557681
Malaysia,2013,72.48827171
Netherlands,2013,89.17499924
Norway,2013,79.97239805
New Zealand,2013,85.70801298
Poland,2013,60.53331875
Portugal,2013,61.14053152
Romania,2013,53.9101758
Russia,2013,74.07629498
Slovakia,2013,54.13840241
Slovenia,2013,50.04665808
Sweden,2013,85.92497713
Seychelles,2013,42.81506963
Thailand,2013,45.83213438
Turkiye,2013,78.52183684
USA,2013,80.66088928
Uzbekistan,2013,51.12769699
Viet Nam,2013,31.53342017
